operator_id,missed_count,total_incoming,missed_rate,avg_waiting_time,outgoing_count,ineffective_missed,ineffective_wait,ineffective_out,score_inefficacy,is_ineffective
898676,0.0,2.0,0.0,8.0,0.0,False,False,True,1,True
898906,0.0,4.0,0.0,57.0,9.0,False,True,False,1,True
898920,0.0,2.0,0.0,97.0,3.0,False,True,False,1,True
899082,1.0,69.0,0.014492753623188406,195.1159420289855,136.0,True,True,False,2,True
899250,5.0,84.0,0.05952380952380952,54.48809523809524,132.0,True,True,False,2,True
899268,2.0,24.0,0.08333333333333333,26.833333333333332,0.0,True,False,True,2,True
899892,0.0,3.0,0.0,31.666666666666668,0.0,False,False,True,1,True
899898,0.0,2.0,0.0,25.0,0.0,False,False,True,1,True
899900,0.0,2.0,0.0,58.0,0.0,False,True,True,2,True
899906,0.0,1.0,0.0,19.0,0.0,False,False,True,1,True
899912,0.0,1.0,0.0,19.0,0.0,False,False,True,1,True
900194,2.0,36.0,0.05555555555555555,32.75,26.0,True,False,False,1,True
900352,1.0,57.0,0.017543859649122806,55.21052631578947,79.0,True,True,False,2,True
900354,3.0,47.0,0.06382978723404255,51.48936170212766,102.0,True,True,False,2,True
900492,1.0,15.0,0.06666666666666667,17.0,88.0,True,False,False,1,True
900592,0.0,40.0,0.0,44.85,41.0,False,True,False,1,True
900746,2.0,11.0,0.18181818181818182,55.54545454545455,19.0,True,True,False,2,True
900788,1.0,42.0,0.023809523809523808,19.071428571428573,38.0,True,False,False,1,True
900790,0.0,8.0,0.0,46.375,17.0,False,True,False,1,True
900892,3.0,87.0,0.034482758620689655,25.666666666666668,159.0,True,False,False,1,True
900894,1.0,44.0,0.022727272727272728,29.931818181818183,90.0,True,False,False,1,True
901178,0.0,30.0,0.0,85.43333333333334,15.0,False,True,False,1,True
901350,0.0,32.0,0.0,73.21875,0.0,False,True,True,2,True
901498,0.0,4.0,0.0,66.25,0.0,False,True,True,2,True
901734,0.0,13.0,0.0,30.23076923076923,0.0,False,False,True,1,True
901880,10.0,108.0,0.09259259259259259,88.5925925925926,194.0,True,True,False,2,True
901884,1.0,95.0,0.010526315789473684,80.8,228.0,True,True,False,2,True
901886,0.0,50.0,0.0,54.22,105.0,False,True,False,1,True
901894,0.0,9.0,0.0,82.44444444444444,0.0,False,True,True,2,True
902510,2.0,26.0,0.07692307692307693,157.96153846153845,95.0,True,True,False,2,True
902532,1.0,34.0,0.029411764705882353,119.70588235294117,76.0,True,True,False,2,True
902720,0.0,33.0,0.0,47.36363636363637,93.0,False,True,False,1,True
902906,0.0,39.0,0.0,21.23076923076923,0.0,False,False,True,1,True
902910,1.0,20.0,0.05,36.8,0.0,True,False,True,2,True
903254,0.0,69.0,0.0,59.91304347826087,152.0,False,True,False,1,True
903292,0.0,8.0,0.0,73.625,12.0,False,True,False,1,True
903312,2.0,52.0,0.038461538461538464,42.86538461538461,26.0,True,False,False,1,True
903318,3.0,57.0,0.05263157894736842,45.14035087719298,136.0,True,True,False,2,True
